state_code,latitude,longitude,zip_code,city,labels,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
CA,37.4429885,-122.1624131,94025,Menlo Park,1,11/15/2000,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,acquired
CA,37.452992,-122.185098,94025,Menlo Park,0,1/1/2006,2/1/2007,5/3/2011,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,closed
KY,38.241467,-85.72451099999998,40204,Louisville,0,1/1/2004,11/25/2008,11/25/2008,4.9041,4.9041,0.0,0.0,0,1,350000,0,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,closed
NY,40.70276,-73.98666800000002,11201,Brooklyn,1,11/26/2007,12/3/2007,5/3/2010,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,education,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,acquired
CO,39.74627279999999,-104.9911572,80202,Denver,1,1/1/2001,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,acquired
VA,38.901301,-77.265158,22182,Vienna,0,1/1/1999,8/9/2005,8/9/2005,6.6082,6.6082,0.0,0.0,0,1,200000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,closed
CA,37.39628270000001,-122.105531,94022,Los Altos,0,1/1/2003,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,closed
CA,37.590339,-122.341715,94010,Burlingame,1,7/1/2000,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,acquired
NY,40.730646,-73.986614,10004,New York,1,1/1/2010,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,acquired
CA,37.446411,-122.16054,94301,Palo Alto,0,1/1/2007,7/2/2009,10/30/2009,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,closed
TX,30.2350399,-97.80012990000002,78735,Austin,1,1/1/2001,3/20/2003,10/14/2004,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,acquired
WA,47.6026054,-122.2848651,98122,Seattle,0,1/1/2004,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,closed
CA,37.426316,-122.141082,94306,Palo Alto,0,1/1/2002,6/28/2007,6/28/2007,5.4904,5.4904,0.0,0.0,1,1,3170000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,closed
CA,37.764395,-122.401024,94103,San Francisco,0,1/1/2008,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,closed
CO,40.010492,-105.276843,80302,Boulder,0,5/1/2007,8/1/2007,9/1/2007,0.2521,0.337,0.0,0.0,5,2,455000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,closed
IL,41.875555,-87.624421,60601,Chicago,1,1/1/2002,11/3/2006,11/3/2006,4.8411,4.8411,1.0,1.0,3,1,13000000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,acquired
CA,37.429676,-122.1085482,94303,Palo Alto,1,1/1/2003,1/22/2007,1/22/2007,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,acquired
CA,37.870102,-122.268136,94704,Berkeley,1,6/1/2008,6/25/2012,6/25/2012,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,acquired
TX,30.2653441,-97.7435857,78701,Austin,1,5/1/2007,11/1/2009,11/10/2011,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,acquired
CA,33.708708,-117.852069,92705,Santa Ana,1,5/24/2005,8/1/2006,8/1/2006,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,acquired
CA,37.422859,-122.045217,94035,Moffett Field,0,1/1/2007,5/9/2008,3/1/2009,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,other,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,closed
WA,47.603832,-122.330062,98119,Seattle,1,1/1/2001,2/25/2005,3/2/2006,4.1534,5.1671,3.0,3.0,6,2,8600000,1,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,acquired
NC,36.002893,-78.904075,27701,Durham,0,10/1/2006,8/1/2006,10/7/2008,-0.1671,2.0192,0.0,0.0,9,2,5000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,closed
CA,37.779281,-122.419236,94105,San Francisco,1,1/1/2011,1/1/2011,11/14/2011,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,acquired
PA,40.441694,-79.990086,15219,Pittsburgh,0,6/1/2009,7/1/2009,7/1/2009,0.0822,0.0822,0.0,0.0,2,1,25000,0,0,0,0,0,1,security,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,closed
NY,40.73901,-73.997259,10011,New York,0,7/1/2004,2/26/2007,2/26/2007,2.6575,2.6575,0.0,0.0,1,1,4000000,1,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,closed
CA,37.791137,-122.391843,94111,San Francisco,0,1/1/2007,8/15/2007,8/5/2008,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,closed
CA,37.404788,-121.940842,95134,San Jose,0,1/1/2005,1/24/2006,9/13/2010,1.063,5.7014,0.0,0.0,0,3,44000000,0,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,closed
CA,37.7795014,-122.3948712,94107,San Francisco,1,10/1/2008,12/1/2008,5/26/2011,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,acquired
NY,40.755446,-73.980246,10010,New York,1,3/1/2006,3/1/2006,1/24/2012,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,acquired
GA,33.756806,-84.392198,30303,Atlanta,1,5/1/2006,5/1/2006,2/17/2011,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,acquired
NH,42.99564,-71.454789,3101,Manchester,1,8/1/2011,8/1/2011,3/1/2012,0.0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,acquired
CA,40.01573320000001,-105.275027,94025,Menlo Park,0,1/1/2008,2/8/2008,5/21/2010,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,closed
WA,47.63609,-122.327028,98102,Seattle,1,5/11/2004,11/6/2007,11/6/2007,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,acquired
CA,37.4049731,-122.0323525,94089,Sunnyvale,1,1/1/2002,8/31/2006,8/31/2006,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,acquired
CA,37.36883,-122.03635,94085,Sunnyvale,1,1/1/2003,8/16/2005,8/16/2005,2.6247,2.6247,0.0,0.0,4,1,25000000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,acquired
NY,40.730646,-73.986614,100011,New York,1,12/1/2009,11/4/2010,11/13/2012,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,fashion,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,acquired
MA,42.3751,-71.105616,2139,Cambridge,1,10/17/2009,1/15/2010,1/15/2010,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
CA,37.779281,-122.419236,94607,San Francisco,1,5/24/2010,8/1/2010,8/1/2011,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,acquired
CA,37.560781,-122.284114,94404,San Mateo,1,10/1/2002,12/15/2005,12/15/2005,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,acquired
CA,37.658313,-122.391032,94080,South San Francisco,1,1/1/2006,8/1/2008,8/1/2008,2.5836,2.5836,2.0,2.0,5,1,3000000,1,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
MA,42.360253,-71.058291,2210,Boston,1,1/1/2009,11/23/2010,6/13/2011,1.8932,2.4466,2.0,3.2767,4,2,11500000,3,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,acquired
TX,30.321464,-97.75501,78731,Austin,1,11/1/2004,8/1/2005,8/1/2005,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
MA,42.37564,-71.2358,2451,Waltham,1,1/1/2000,3/8/2005,10/23/2006,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,acquired
CA,37.7870842,-122.4038047,94103,San Francisco,1,5/1/2006,1/1/2007,7/23/2012,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,acquired
CA,37.441537,-122.158332,94301,Palo Alto,0,1/1/2004,3/9/2005,7/1/2007,1.1863,3.4986,0.0,0.0,0,2,12050000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,closed
CA,37.445586,-122.161929,95128,Palo Alto,1,1/1/2006,3/1/2008,10/5/2010,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,acquired
CA,33.5842816,-117.7306817,92656,Aliso Viejo,1,2/1/2005,3/10/2009,3/10/2009,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,consulting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,acquired
CA,37.402773,-122.052551,94089,Sunnyvale,1,7/1/2007,6/26/2009,8/25/2011,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,acquired
MO,39.103151,-94.581908,64106,Kansas City,1,7/1/2000,9/12/2005,9/7/2006,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,acquired
MA,42.546483,-71.17366700000002,1887,Wilmington,0,12/1/1999,9/12/2002,11/10/2010,2.7836,10.9507,-1.9151,-1.9151,10,3,19009671,1,0,0,1,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,closed
CA,37.805289,-122.404448,94111,San Francisco,0,1/1/2005,7/1/2008,7/1/2008,3.4986,3.4986,3.0,3.0,6,1,5000000,1,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,closed
WA,47.675489,-122.191667,98033-6314,Kirkland,1,1/1/2001,1/17/2005,4/20/2010,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,acquired
FL,27.951849,-82.456397,33609,Tampa,0,1/1/2001,5/16/2007,5/16/2007,6.3726,6.3726,0.0,0.0,0,1,4000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,closed
MA,42.360253,-71.058291,02111-1720,Boston,1,12/1/2008,3/30/2010,9/13/2011,1.3259999999999998,2.7836,1.6740000000000002,3.1342,5,3,2030882,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
CA,37.7831775,-122.3086191,94501,Alameda,1,1/1/2006,8/23/2008,8/23/2008,2.6438,2.6438,0.0,7.3918,4,1,5000000,2,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,acquired
WA,47.765758,-122.184304,98011,Bothell,0,12/1/1999,1/1/2001,1/1/2001,1.0877,1.0877,0.0,0.0,5,1,20500000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,closed
CO,40.730646,-73.986614,80302,Boulder,1,2/2/2006,1/18/2010,8/9/2012,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,acquired
CA,37.54763,-122.307887,94403-1855,San Mateo,1,1/1/2000,4/2/2007,4/2/2007,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,acquired
CA,37.790485,-122.40094,94104,San Francisco,1,9/1/2005,1/1/2007,9/9/2008,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,acquired
CA,37.7870923,-122.3999719,94105,San Francisco,1,1/1/2008,9/5/2008,9/5/2008,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,acquired
CA,37.3492097,-122.0326019,94087,Sunnyvale,1,6/12/2012,6/1/2012,6/1/2012,-0.0301,-0.0301,0.1369999999999999,0.1369999999999999,3,1,355000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,acquired
FL,28.098905,-82.400087,33626,Tampa,1,1/1/2006,1/1/2006,4/1/2006,0.0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,acquired
CA,37.779026,-122.40184,94103,San Francisco,1,1/1/2003,9/1/2004,5/1/2012,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,acquired
TX,32.9583632,-96.8215658,75001,Dallas,0,1/1/2007,10/21/2008,10/21/2008,1.8055,1.8055,0.0,0.0,1,1,3000000,0,0,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,closed
CA,37.54827,-121.988572,94538,Fremont,0,1/1/2003,9/12/2005,1/1/2007,2.6986,4.0027,1.0,1.0,2,2,19700000,1,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,closed
CA,37.354469,-121.990433,95051,Santa Clara,0,1/1/1998,3/1/2007,3/12/2007,9.1671,9.1973,0.0,0.0,0,2,17800000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,closed
CA,37.779281,-122.419236,94107,San Francisco,1,3/1/2010,3/5/2010,4/5/2012,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,acquired
NY,40.606061,-73.822331,10004,New York,1,1/1/2006,9/1/2006,1/14/2009,0.6658,3.0384,2.0,5.0548,10,3,17200000,5,0,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,acquired
MA,42.3751,-71.105616,2138,Cambridge,0,8/1/2008,1/1/2008,12/4/2009,-0.5836,1.3425,0.0,1.5479,4,7,457282,2,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,closed
CA,37.779281,-122.419236,94105,San Francisco,1,9/9/2010,9/1/2010,9/20/2012,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,acquired
NJ,40.349274,-74.659296,8540,Princeton,0,1/1/2008,1/17/2010,1/17/2010,2.0466,2.0466,0.0,0.0,2,1,12000000,0,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,closed
CO,40.397761,-105.07498,80538,Loveland,0,1/1/2007,7/6/2010,12/15/2010,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,closed
CA,37.420428,-122.090769,94043,Mountain View,1,1/1/2002,12/7/2005,9/6/2006,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,search,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,acquired
NY,40.725435,-73.997395,10012,New York,1,9/1/2004,10/30/2006,4/21/2010,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,acquired
WV,39.388156,-77.885552,25430,Kearneysville,0,1/1/2000,6/9/2005,6/9/2005,5.4411,5.4411,0.0,0.0,1,1,1000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,closed
CA,34.043948,-118.468204,90025,Los Angeles,1,4/1/2006,5/18/2007,5/18/2007,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,acquired
MI,42.350749,-83.44458900000002,48187,Canton,0,1/1/2001,11/19/2008,8/30/2011,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,closed
CA,37.388869,-122.072353,94041,Mountain View,0,1/1/2013,11/19/2013,11/19/2013,0.8822,0.8822,0.0,0.0,7,1,12000000,0,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,closed
WA,47.614018,-122.19655,98004,Bellevue,1,1/1/2003,7/11/2005,2/7/2006,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,acquired
CA,37.406217,-121.976473,95054,Santa Clara,1,1/1/2002,1/1/2006,11/13/2009,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,acquired
DC,37.09024,-95.712891,20007,Washington,0,5/1/2005,7/1/2006,12/29/2009,1.1671,4.6658,0.0,0.0,1,3,15564591,0,0,0,0,0,1,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,closed
CA,37.779281,-122.419236,94105,San Francisco,1,1/1/2007,7/28/2009,7/28/2009,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,acquired
CA,37.779281,-122.419236,94110,San Francisco,1,12/21/2010,2/1/2011,4/23/2012,0.1151,1.3397,1.8329,2.6712,24,2,8950000,2,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,acquired
NY,40.753881,-73.978852,10173,New York,1,1/1/2006,10/1/2007,10/26/2010,1.7479,4.8192,4.0027,4.8192,8,4,55350000,2,0,1,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,acquired
CA,37.406914,-122.09037,94043,Mountain View,0,1/1/2002,9/21/2005,9/21/2005,3.7233,3.7233,0.0,0.0,1,1,4000000,0,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,closed
IL,41.878984,-87.637,60606,Chicago,1,1/1/2006,9/13/2007,7/6/2012,1.6986,6.5151,3.2849,4.9315,3,5,10764323,3,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,acquired
NJ,40.535316,-74.521435,8873,Somerset,0,1/1/2007,5/29/2008,5/29/2008,1.4082,1.4082,0.0,0.0,1,1,5500000,1,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,closed
CA,37.779281,-122.419236,94105,San Francisco,1,1/1/2008,4/13/2012,4/13/2012,4.2849,4.2849,2.4164,5.5151,7,1,400000,2,1,0,0,0,0,social,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,acquired
CA,37.863464,-122.3153453,94710,Berkeley,0,1/1/2007,10/2/2007,1/5/2010,0.7507,3.0137,0.0,0.0,3,3,54000000,0,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,closed
GA,34.070958000000005,-84.274733,30009,Alpharetta,0,1/1/1985,10/17/2005,10/17/2005,20.8055,20.8055,0.0,0.0,2,1,32000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,closed
WA,39.78373,-100.445882,98104,Seattle,1,1/1/2000,10/14/2005,10/14/2005,5.789,5.789,0.0,0.0,1,1,13000000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,acquired
WA,47.614422,-122.192337,98004,Bellevue,1,1/1/2005,2/1/2005,4/10/2006,0.0849,1.2712,0.0,0.0,5,3,12500000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,acquired
